"Date","Time","Sky Condition (label)","Sky Condition","Precip Type (label)","Precip Type","Precip Rate (label)","Precip Rate","Grain Form (label)","Grain Form","Grain Size (mm)","HN24","H24W in Tube (weight of tube sample)","H Tube Sample (height of snow in tube)","H24W Can","Density p (kg/m3)","Density (%)","HST","HS","Settlement/Melt","Temp Surface","Temp 10cm","Temp 20cm","Temp Current","Temp Max","Temp Min","Wind Direction","Wind Speed (label)","Wind Speed","Observers Name","Comments","User ID","Timestamp","Last Updated","Created By","Updated By","Entry Status","IP","ID","Key"
"2022-12-21","05:40","Clear","CLR","No precipitation","NO","","","","","","","","","","","","","45","","-10.0","-6.0","-4.0","6.3","21.0","4.3","E","Calm","C","Gerritt","","","2022-12-21 05:44:48","2022-12-21 05:44:48","","","0","216.107.219.202","22","hgs6g"
"2022-12-30","05:48","Clear","CLR","No precipitation","NO","","","","","","0","0.0","0.0","0.0","","","0","42","0","","","","2.0","6.0","-5.0","N","","","Anthony Brezzo","","","2022-12-30 05:51:47","2022-12-30 05:51:47","","","0","216.107.219.202","49","gpabe"
"2022-12-29","05:52","Overcast","OVC","No precipitation","NO","","","","","","1","","","","","","1","17","0","","","","0.0","0.0","-25.0","","","","Anthony Brezzo","Light and variable winds

Snow can was full and seems unattended? Did not measure density of new cm of snow","","2022-12-29 05:59:54","2022-12-29 05:59:54","","","0","216.107.219.202","46","v95s1"
"2022-12-28","05:30","Overcast","OVC","No precipitation","NO","","","","","","1","0.5","1.3","","38","4","2","43","","-11.0","-7.5","-5.5","-11.0","-11.0","-13.5","W","Light","L","Eli Hanschka","Surface snow grains: fragmented/irregular crystals w/ some original crystals of stellar dendrites, size: 1-3mm","","2022-12-28 05:56:58","2022-12-28 05:56:58","","","0","107.77.226.143","43","9dikw"
"2022-12-27","05:32","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites, Irregular crystals","sd, ir","2-4","T","0.1","0.2","","50","5","NC","42","0","-11.0","-7.5","-4.0","-13.0","-13.0","-15.5","W","Moderate","M","Eli Hanschka","","","2022-12-27 05:53:24","2022-12-27 05:53:24","","","0","107.77.226.143","40","9snvx"
"2022-12-26","05:30","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Needles, Stellars and dendrites","nd, sd","2-3","T","0.1","0.2","","50","5","NC","42","0","-13.5","-9.5","-6.0","-15.0","-14.5","-17.5","W","Moderate","M","Eli Hanschka","","","2022-12-26 05:53:04","2022-12-26 05:53:04","","","0","107.77.226.24","37","huof1"
"2022-12-25","05:20","Few","FEW","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","T","","","","","","NC","42","0","-15.0","-11.0","-5.0","-18.5","-15.0","-20.0","W","Moderate","M","Eli Hanschka","The trace amount of snow on HN24 was too little to get meaningful SWE/density numbers.","","2022-12-25 06:00:29","2022-12-25 06:00:29","","","0","107.77.225.183","35","vw4uc"
"2022-12-24","05:30","Broken","BKN","Snow","SN","Very light snowfall","S-1","Plates, Irregular crystals","pl, ir","1","3","3.7","3.0","","123","12","17","42","16","-15.5","-7.0","-2.0","-19.0","3.0","-20.0","W","Moderate","M","Eli Hanschka","","","2022-12-24 06:03:00","2022-12-24 06:03:00","","","0","107.77.225.183","32","t67cr"
"2022-12-23","05:27","Obscured","X","Snow","SN","Moderate snowfall","S2","Needles, Irregular crystals","nd, ir","2","20","29.5","19.6","","150","15","NC","58","0","-2.0","-3.0","-4.0","-3.5","-3.0","-14.5","S","Strong","S","Eli Hanschka","","","2022-12-23 06:00:55","2022-12-23 06:00:55","","","0","107.77.225.183","29","f84wp"
"2022-12-22","05:41","Clear","CLR","No precipitation","NO","","","","","","","","","","","","","43","","-9.0","-6.0","-4.0","13.8","22.8","5.9","","Calm","C","Gerritt","Too calm to get a wind direction. Also it was clear a few minutes ago but a blanket of cloud might be moving in","","2022-12-22 05:45:07","2022-12-22 05:45:07","","","0","216.107.219.202","26","dot1z"
"2022-12-11","05:45","Clear","CLR","No precipitation","NO","","","","","","0","","","0.0","","","NC","10","","-10.0","-5.0","","-12.0","","","SW","Calm","C","Eli Hanschka","Temp min/max will be collected tomorrow after resetting the thermometer for the first time today.","","2022-12-11 06:07:24","2022-12-11 06:07:24","","","0","216.107.219.202","3","o1s7s"
"2022-12-20","05:58","Clear","CLR","No precipitation","NO","","","","","","3","2.0","3.0","","","","","54","","-9.0","-5.0","-4.0","18.1","18.1","11.4","E","Moderate","M","Gerritt","","","2022-12-20 06:02:13","2022-12-20 06:02:13","","","0","216.107.219.202","20","6df00"
"2022-12-19","05:58","Obscured","X","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","4m","","0.4","","","","","50","","-10.0","-5.0","-4.0","12.7","17.2","12.0","NE","Strong","S","Gerritt","There was very little on the HN24 snowboard, I wasn’t sure if I should record it as trace but I figured more information is better than less, it was about 4mm of snow. I did try to weigh it but it was too light to make a difference.","","2022-12-19 05:58:23","2022-12-19 05:58:23","","","0","216.107.219.202","18","stooe"
"2022-12-18","05:30","Scattered","SCT","Snow","SN","Very light snowfall","S-1","Needles, Irregular crystals","nd, ir","1.5","9","11.0","9.2","","120","12","30","50","","-8.5","-6.5","-5.0","-9.0","-3.0","-9.5","NW","Moderate","M","Eli Hanschka","Precip. of very light snow was difficult to distinguish from blowing snow which was present.","","2022-12-18 06:02:55","2022-12-18 06:02:55","","","0","107.77.223.162","16","jxdpy"
"2022-12-17","06:04","Obscured","X","Snow","SN","Moderate snowfall","S2","Needles, Irregular crystals","nd, ir","1.5","41","18.0","17.0","","","","","55","","-5.0","-4.0","","-5.0","-4.0","-6.0","E","Calm","C","Gerritt","","","2022-12-17 06:08:56","2022-12-17 06:50:36","","jeff","0","216.107.219.202","13","ng2uh"
"2022-12-16","05:30","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Graupel","gp","1.5","T","0.1","0.2","","50","5","NC","14","0","-4.5","-2.5","","-6.0","-3.0","-8.0","E","Light","L","Eli Hanschka","","","2022-12-16 05:59:42","2022-12-16 05:59:42","","","0","107.77.226.190","11","30qjx"
"2022-12-15","05:30","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Needles","nd","1","T","0.1","0.2","","50","5","5","14","1","-4.8","-2.0","","-6.0","-5.5","-11.5","NE","Light","L","Eli Hanschka","Storm board mistakenly cleared yesterday, today’s HST figure includes 5cm on the board yesterday plus a trace this morning.","","2022-12-15 05:57:34","2022-12-15 05:57:34","","","0","107.77.223.114","9","248zq"
"2022-12-14","05:30","Broken","BKN","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","6","2.8","5.6","","50","5","5","15","0","-10.0","-6.5","","-12.5","-6.5","-18.0","N","Strong","S","Eli Hanschka","Observed light blowing snow. Snow surface grains: mixed forms with rounding and fragmentation w/ the occasional dendrite. I measured/cleared the storm board because I thought there was only blowing snow and the storm was over, but realized after that it was indeed still very lightly snowing.","","2022-12-14 06:05:29","2022-12-14 06:05:29","","","0","107.77.223.114","7","442t9"
"2022-12-13","05:30","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","NC","12","0","-7.5","-4.5","","-7.5","-4.0","-13.5","NW","Moderate","M","Eli Hanschka","Surface snow grain type: decomposing and fragmented particles","","2022-12-13 06:02:32","2022-12-13 06:02:32","","","0","107.77.226.213","5","f212y"
"2022-12-12","05:30","Few","FEW","No precipitation","NO","","","Stellars and dendrites","sd","3","2","1.0","2.0","","50","5","2","12","0","-10.0","-6.0","","-10.0","-5.5","-14.0","NW","Calm","C","Eli","","","2022-12-12 06:05:35","2022-12-12 06:05:35","","","0","107.77.225.149","4","ysrhk"
"2023-01-10","05:40","Obscured","X","Snow","SN","Light snowfall","S1","Irregular crystals","ir","1-2","2","2.0","1.8","","110","10","NC","36","","-10.0","-3.5","-2.5","-11.5","-2.0","-11.5","NW","Strong","S","Eli Hanschka","","","2023-01-10 06:03:38","2023-01-10 06:03:38","","","0","107.77.223.37","82","t7sin"
"2023-01-20","05:40","Obscured","X","Snow","SN","Heavy snowfall","S5","Stellars and dendrites, Irregular crystals","sd, ir","2-4","12","14.0","12.0","","120","12","NC","57","","-5.5","-5.0","-3.5","-7.0","-1.0","-8.0","SE","Calm","C","Eli Hanschka","","","2023-01-20 06:06:42","2023-01-20 06:06:42","","","0","107.77.224.196","112","l56vf"
"2023-01-19","05:40","Clear","CLR","No precipitation","NO","","","","","","","0.5","0.6","","8","1","41","1","","-4.0","-2.5","-2.0","-4.0","5.0","-7.5","N","Light","L","Aubrey Schoff","","","2023-01-19 06:15:40","2023-01-19 06:15:40","","","0","107.115.17.144","109","jp13k"
"2023-01-18","05:41","Clear","CLR","","","","","","","","","","","","","","","40","","0.0","0.0","-0.5","1.0","5.0","-2.0","","Moderate","M","Aubrey Schoff","","","2023-01-18 05:48:17","2023-01-18 05:48:17","","","0","166.198.21.92","106","jp6t4"
"2023-01-16","05:36","Clear","CLR","No precipitation","NO","","","","","","","2.0","0.8","","25","3","1","40","","0.0","0.0","0.0","2.0","2.0","10.0","","Light","L","Aubrey Schoff","","","2023-01-17 06:07:21","2023-01-17 06:07:21","","","0","107.115.17.113","103","ag1vf"
"2023-01-16","05:41","Overcast","OVC","No precipitation","NO","","","","","1","0","1.5","0.2","","75","7","14","40","","-3.0","-3.0","-2.0","-2.0","-2.0","-9.0","","","","Aubrey","Storm board (HS) cleared in 1/16 rather than after storm on 1/15; 1/16 measurement includes new, dusted snowfall from 1/15 and 1/16.","","2023-01-16 06:32:47","2023-01-16 06:32:47","","","0","166.198.21.115","101","1mjkl"
"2023-01-15","05:40","Few","FEW","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","1","1.5","0.8","","1","2","","40","","-7.0","-6.0","-4.0","-2.5","2.0","-6.0","","","","Hermit Lakes","","","2023-01-15 06:46:03","2023-01-15 06:46:03","","","0","107.115.17.106","99","w3ss6"
"2023-01-13","05:40","Overcast","OVC","Rain","RA","Light rain","RL","","","","14","28.0","14.0","","200","20","NC","47","","0.0","-1.5","-1.5","0.0","0.0","-9.0","SW","Calm","C","Eli Hanschka","HN24 is likely lower than actual snowfall - I checked the plot yesterday evening after it had been snowing all afternoon and the HN24 was wind-scoured with no snow. Other spots around the snow plot show 20-25 cm of snow above the crust.","","2023-01-13 06:03:36","2023-01-13 06:03:36","","","0","107.77.226.56","90","iljir"
"2023-01-12","05:40","Broken","BKN","Snow","SN","Light snowfall","S1","Stellars and dendrites, Irregular crystals","sd, ir","2-3","0","","","","","","NC","35","0","-8.0","-4.5","-3.0","-9.0","-9.0","-17.0","SW","Moderate","M","Eli Hanschka","","","2023-01-12 05:59:19","2023-01-12 05:59:19","","","0","107.77.225.4","88","gfg6m"
"2023-01-11","05:45","Few","FEW","No precipitation","NO","","","","","","T","","","","","","2","35","1","-14.5","-6.0","-3.5","-17.0","-10.5","-17.0","NW","Calm","C","Eli Hanschka","","","2023-01-11 06:08:18","2023-01-11 06:08:18","","","0","107.77.224.140","85","nymcg"
"2022-12-31","05:30","Few","FEW","No precipitation","NO","","","","","","0","","","","","","0","35","7","0.0","-0.5","-1.0","8.0","9.5","0.0","W","Moderate","M","Eli Hanschka","","","2022-12-31 05:54:07","2022-12-31 05:54:07","","","0","107.77.226.175","53","87w7h"
"2023-01-09","05:30","Overcast","OVC","No precipitation","NO","","","","","","0","","","","","","NC","35","0","-5.0","-3.5","-2.5","-3.0","-3.0","-14.0","W","Light","L","Eli Hanschka","","","2023-01-09 05:47:13","2023-01-09 05:47:13","","","0","107.77.226.68","80","qr7ig"
"2023-01-08","05:30","Clear","CLR","No precipitation","NO","","","","","","2","3.5","2.2","","160","16","9","35","","-13.0","-4.0","-2.5","-13.5","-4.0","-13.5","NW","Calm","C","Eli Hanschka","Snow surface grain type: fragmented/decomposing, size: 2mm","","2023-01-08 05:55:26","2023-01-08 05:55:26","","","0","107.77.226.22","77","bfnnz"
"2023-01-07","05:30","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Graupel, Irregular crystals","gp, ir","1-2","6","5.5","6.2","","89","9","NC","32","","-3.5","-1.5","-1.0","-5.0","-1.0","-5.0","NW","Light","L","Eli Hanschka","","","2023-01-07 05:58:34","2023-01-07 05:58:34","","","0","107.77.226.22","74","q8uwa"
"2023-01-06","05:30","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Graupel","gp","1.5","T","","","","","","NC","25","0","-1.5","-1.5","-0.5","-2.0","-1.5","-4.5","SW","Calm","C","Eli Hanschka","Not enough snow to collect meaningful SWE/H24W measurements.","","2023-01-06 05:59:26","2023-01-06 05:59:26","","","0","107.77.225.199","71","16pio"
"2023-01-05","06:04","Obscured","X","Mixed rain and snow","RS","Very light snowfall","S-1","Irregular crystals","ir","3","1","2.0","1.0","10.0","167","16","1","25","","0.0","-1.0","-2.0","-5.0","1.0","-4.5","","Calm","C","","On 1/02/23 I recorded the HS at 51cm. I transposed the cm to inches and did the conversion. And read the stake wrong. The true height that day was 25 cm.","","2023-01-05 06:29:54","2023-01-05 06:29:54","","","0","209.107.182.28","68","o2q0z"
"2023-01-04","05:53","Overcast","OVC","Rain","RA","Very light rain","RV","","","","","","","3.0","","","","","1","-2.0","-2.0","-2.0","1.0","5.0","-5.0","","Calm","C","Ashley Fife","","","2023-01-04 05:37:32","2023-01-04 05:37:32","","","0","209.107.190.68","64","c1gwi"
"2023-01-03","05:42","Clear","CLR","Snow","SN","","","Irregular crystals","ir","2","0","1/2","","0","0","0","0","25","0","-5.0","-4.0","-3.0","-4.0","3.0","-8.0","NW","Calm","C","Ashley Fife","I was mistaken on the HS yesterday. It was 25 yesterday and 25 today.","","2023-01-03 05:53:36","2023-01-03 05:53:36","","","0","209.107.190.55","61","2xk0v"
"2023-01-02","08:25","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Plates, Stellars and dendrites","pl, sd","1","1","2.0","1.2","2.0","4","39","2","51","0","-3.0","-3.0","-3.0","22.5","5.0","-6.0","NE","Strong","S","Ashley","","","2023-01-02 11:35:34","2023-01-02 11:35:34","","","0","209.107.190.47","60","ryu3d"
"2023-01-01","05:30","Overcast","OVC","Rain","RA","Light rain","RL","","","","0","","","","","","NC","25","10","0.0","-1.0","-1.0","3.5","9.0","0.0","W","Strong","S","Eli Hanschka","","","2023-01-01 05:46:32","2023-01-01 05:46:32","","","0","107.77.224.202","55","8gqpn"
"2023-01-31","05:40","Overcast","OVC","Snow","SN","Light snowfall","S1","Stellars and dendrites","sd","2","3","3.5","3.0","","12","1","3c","98","","-8.0","-6.0","-5.0","-13.0","0.0","-13.0","NW","Moderate","M","Aubrey Schoff","","","2023-01-31 06:10:38","2023-01-31 06:10:38","","","0","166.198.21.137","146","rfqoo"
"2023-02-09","05:39","Clear","CLR","No precipitation","NO","","","","","","T","","","","","","3","86","0","-5.5","-5.0","-4.5","-4.0","-4.0","-6.0","NW","Light","L","Eli Hanschka","","","2023-02-09 05:55:46","2023-02-09 05:55:46","","","0","107.77.226.203","169","3dne0"
"2023-02-08","05:41","Broken","BKN","Snow","SN","Very light snowfall","S-1","Graupel, Irregular crystals","gp, ir","1-2","4","6.0","4.2","","140","14","NC","86","","-4.0","-3.5","-3.5","-5.0","0.0","-9.0","NW","Strong","S","Eli Hanschka","A layer of graupel was observed on the snow surface.","","2023-02-08 06:06:14","2023-02-08 06:06:14","","","0","107.77.226.187","166","ll7at"
"2023-02-07","03:30","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","0","84","1","-9.0","-6.5","-5.5","-10.5","-1.5","-12.5","NE","Calm","C","Eli Hanschka","","","2023-02-07 03:38:16","2023-02-07 03:38:16","","","0","107.77.223.197","164","uoj96"
"2023-02-06","05:40","Scattered","SCT","Snow","SN","Very light snowfall","S-1","Stellars and dendrites, Irregular crystals","sd, ir","1-2","T","","","","","","NC","85","0","-2.5","-4.0","-4.0","-3.5","-1.0","-10.0","W","Moderate","M","Eli Hanschka","","","2023-02-06 05:56:21","2023-02-06 05:56:21","","","0","107.77.223.144","162","gkub1"
"2023-02-05","05:40","Obscured","X","Snow","SN","Light snowfall","S1","Irregular crystals","ir","1","T","","","","","","4","85","1","-7.5","-11.5","-10.5","-9.0","-9.0","-37.5","W","Moderate","M","Eli Hanschka","Snow grains were rimed.","","2023-02-05 06:01:41","2023-02-05 06:01:41","","","0","107.77.223.115","159","zercv"
"2023-02-04","05:30","Obscured","X","No precipitation","NO","","","","","","3","5.0","3.5","","140","14","NC","86","3","-34.0","-17.5","-12.5","-37.5","-24.0","-37.5","NW","Extreme","E","Eli Hanschka","Snow plot was heavily wind affected.","","2023-02-04 06:09:31","2023-02-04 06:09:31","","","0","107.77.223.159","157","dl8nd"
"2023-02-03","05:30","Obscured","X","Snow","SN","Light snowfall","S1","Irregular crystals","ir","1-2","4","2.0","3.9","","51","5","NC","89","","-24.0","-12.0","-10.0","-24.0","-10.5","-24.0","NW","Strong","S","Eli Hanschka","","","2023-02-03 06:11:26","2023-02-03 06:11:26","","","0","107.77.223.159","154","2evsj"
"2023-02-02","05:35","Clear","CLR","No precipitation","NO","","","","","","0","0.0","0.3","","0","0","0c","86","","-13.0","-10.0","-7.0","-15.0","-13.0","-23.0","","Light","L","Aubrey Schoff","","","2023-02-02 05:48:17","2023-02-02 05:48:17","","","0","166.198.21.127","151","i6oz6"
"2023-02-01","05:38","Clear","CLR","No precipitation","NO","","","","","","0","0.5","0.4","","12","1","0c","89","","-15.0","-10.0","-10.0","-22.0","-12.0","-22.0","W","Calm","C","Aubrey Schoff","","","2023-02-01 06:05:24","2023-02-01 06:05:24","","","0","166.198.21.32","148","14g1m"
"2023-01-21","05:40","Clear","CLR","No precipitation","NO","","","","","","7","6.5","7.5","","87","9","21","64","","-10.5","-7.5","-5.0","-10.0","","-12.0","NW","Moderate","M","Eli Hanschka","Max temp not collected because I forgot to reset yesterday.","","2023-01-21 06:02:17","2023-01-21 06:02:17","","","0","107.77.223.235","115","lzutg"
"2023-01-30","05:40","Clear","CLR","","","","","","","","6","7.0","6.2","","11","1","7c","85","","-7.0","-4.5","-4.0","-8.0","-3.0","-8.0","NW","Light","L","Aubrey Schoff","","","2023-01-30 06:20:38","2023-01-30 06:20:38","","","0","107.115.17.60","142","715td"
"2023-01-29","05:41","Scattered","SCT","No precipitation","NO","","","","","","2","1.5","1.8","","83","8","2","84","1","-7.0","-7.0","-6.5","-5.5","-5.5","-10.0","W","Light","L","Eli Hanschka","","","2023-01-29 06:01:11","2023-01-29 06:01:11","","","0","107.77.223.92","139","kup5b"
"2023-01-28","05:43","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","T","","","","","","T","85","2","-8.5","-8.0","-7.0","-9.0","-9.0","-14.0","SW","Moderate","M","Eli Hanschka","Irregular snow grains falling  looked deformed/rimed but there were stellar dendrites on the snow surface.","","2023-01-28 06:03:21","2023-01-28 06:03:21","","","0","107.77.225.55","136","cme9d"
"2023-01-27","05:40","Scattered","SCT","Snow","SN","Very light snowfall","S-1","Stellars and dendrites, Irregular crystals","sd, ir","1","5","7.5","5.2","","140","14","22","87","1","-13.0","-10.0","-5.5","-13.0","0.0","-13.0","W","Moderate","M","Eli Hanschka","Snow grain forms were rimed and fragmented. Difficult to tell whether the snow in the air was from wind transport or active precip.","","2023-01-27 06:06:01","2023-01-27 06:06:01","","","0","107.77.224.50","133","lrmbr"
"2023-01-26","05:35","Overcast","OVC","Rain","RA","Light rain","RL","","","","18","37.5","18.2","","210","21","NC","88","","-0.5","-5.0","-5.5","-1.0","-1.0","-10.5","SW","Light","L","Eli Hanschka","","","2023-01-26 06:01:47","2023-01-26 06:01:47","","","0","107.77.225.153","129","616yq"
"2023-01-25","09:15","Overcast","OVC","No precipitation","NO","","","","","","2","2.5","2.2","","110","11","2","74","","-10.0","-8.5","-6.5","-10.0","-7.5","-13.0","W","Calm","C","Eli Hanschka","","","2023-01-25 09:31:11","2023-01-25 09:31:11","","","0","107.77.223.194","128","fc8va"
"2023-01-24","05:40","Obscured","X","No precipitation","NO","","","","","","11","9.0","10.9","","83","8","26","76","","-8.0","-7.0","-6.0","-9.0","-3.5","-11.0","W","Strong","S","Eli Hanschka","Blowing snow observed at the snow plot which may have affected HST.","","2023-01-24 06:03:45","2023-01-24 06:03:45","","","0","107.77.224.70","124","ba1y5"
"2023-01-23","05:40","Overcast","OVC","Snow","SN","Moderate snowfall","S2","Graupel, Irregular crystals","gp, ir","1-2","9","9.0","8.8","","100","10","NC","68","","-4.5","-4.5","-3.5","-5.5","-2.5","-14.5","W","Calm","C","Eli Hanschka","Some grain forms looked rimed.","","2023-01-23 06:06:28","2023-01-23 06:06:28","","","0","107.77.224.127","121","tndog"
"2023-01-22","05:42","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","NC","62","2","-9.0","-7.0","-5.0","-7.5","-7.5","-14.5","W","Light","L","Eli Hanschka","","","2023-01-22 06:00:42","2023-01-22 06:00:42","","","0","107.77.224.127","118","i2wi9"
